,type,date,price,amount,commission,value,profit
0,buy,2022-12-02 07:30:00,16965.74,0.5888337319798606,10.0,9990.0,
1,sell,2022-12-03 20:30:00,16946.01,0.5888337319798606,9.978382310468037,9978.382310468036,-21.596071842432572
2,buy,2022-12-03 21:45:00,16947.76,0.5875959728146617,9.968403928157569,9958.43552422941,
3,sell,2022-12-05 00:30:00,17250.58,0.5875959728146617,10.136371336717147,10136.371336717148,167.7994411510207
4,buy,2022-12-05 08:15:00,17352.38,0.5829810510382466,10.12623496538043,10116.10873041505,
5,sell,2022-12-05 09:15:00,17303.48,0.5829810510382466,10.087600957019278,10087.600957019278,-38.59537435279039
6,buy,2022-12-05 23:30:00,16985.74,0.5926992784951491,10.077513356062259,10067.435842706196,
7,sell,2022-12-07 11:45:00,16793.29,0.5926992784951491,9.953370866559805,9953.370866559804,-124.0183470129517
8,buy,2022-12-07 13:00:00,16836.2,0.5900068945603848,9.943417495693245,9933.47407819755,
9,sell,2022-12-08 01:45:00,16831.68,0.5900068945603848,9.930807247034139,9930.807247034138,-12.597638410447335
10,buy,2022-12-08 02:30:00,16869.78,0.587497617831846,9.920876439787104,9910.955563347317,
11,sell,2022-12-08 04:15:00,16812.9,0.587497617831846,9.877538698845045,9877.538698845045,-43.294403201118904
12,buy,2022-12-08 11:45:00,16851.02,0.58499684286091,9.867661160146199,9857.793498986053,
13,sell,2022-12-09 10:30:00,17210.98,0.58499684286091,10.068368962542266,10068.368962542265,200.5070945936704
14,buy,2022-12-10 06:45:00,17147.21,0.5859986722613266,10.058300593579723,10048.242292986142,
15,sell,2022-12-10 08:45:00,17141.82,0.5859986722613266,10.045083760142655,10045.083760142654,-13.203616603630865
16,buy,2022-12-10 14:15:00,17163.7,0.5840817328260299,10.035038676382513,10025.00363770613,
17,sell,2022-12-10 17:45:00,17169.18,0.5840817328260299,10.028204405602017,10028.204405602017,-6.8274365097156275
18,buy,2022-12-12 08:45:00,16935.11,0.590970948815521,10.018176201196415,10008.158024995219,
19,sell,2022-12-13 06:30:00,17155.92,0.590970948815521,10.138650320203173,10138.650320203173,120.35364488775065
20,buy,2022-12-13 23:00:00,17747.94,0.5701159209583245,10.12851166988297,10118.383158213086,
21,sell,2022-12-14 04:30:00,17758.33,0.5701159209583245,10.124306662631845,10124.306662631845,-4.200802243873111
22,buy,2022-12-16 23:00:00,16598.81,0.6087224429711071,10.114182355969213,10104.068173613243,
23,sell,2022-12-17 02:30:00,16636.89,0.6087224429711071,10.127248324241583,10127.248324241582,13.052902304097026
24,buy,2022-12-17 07:30:00,16731.39,0.604074374863142,10.117121075917341,10107.003954841424,
25,sell,2022-12-17 09:30:00,16684.65,0.604074374863142,10.078769518560323,10078.769518560322,-38.31320579966235
26,buy,2022-12-17 15:45:00,16700.26,0.602303320923909,10.068690749041762,10058.62205829272,
27,sell,2022-12-19 22:15:00,16561.16,0.602303320923909,9.974841666352207,9974.841666352206,-93.75523360686708
28,buy,2022-12-19 22:30:00,16398.72,0.60705359673567,9.964866824685854,9954.901957861168,
29,sell,2022-12-21 08:00:00,16817.59,0.60705359673567,10.209178497925837,10209.178497925837,244.06736156674364
30,buy,2022-12-21 08:30:00,16845.84,0.604824119789128,10.198969319427912,10188.770350108483,
31,sell,2022-12-25 02:45:00,16827.29,0.604824119789128,10.177550862686395,10177.550862686396,-21.39703828477428
32,buy,2022-12-25 05:45:00,16831.74,0.6034554917383398,10.16737331182371,10157.205938511885,
33,sell,2022-12-28 00:45:00,16686.23,0.6034554917383398,10.069397129909037,10069.397129909037,-97.87820573275609
34,buy,2022-12-28 01:15:00,16721.88,0.6009652266997699,10.059327732779128,10049.268405046349,
35,sell,2022-12-29 02:00:00,16531.3,0.6009652266997699,9.934736452141905,9934.736452141906,-124.4666893565851
36,buy,2022-12-29 02:30:00,16544.55,0.5992835655230317,9.924801715689764,9914.876913974074,
37,sell,2023-01-04 23:00:00,16841.19,0.5992835655230317,10.092648390850828,10092.648390850827,167.67882848590097
38,buy,2023-01-05 07:45:00,16823.64,0.5987095055955498,10.082555742459975,10072.473186717516,
39,sell,2023-01-05 13:15:00,16809.03,0.5987095055955498,10.063726040840764,10063.726040840764,-18.810871917592095
40,buy,2023-01-05 14:15:00,16811.76,0.5974156574020284,10.053662314799924,10043.608652485123,
41,sell,2023-01-08 09:45:00,16935.6,0.5974156574020284,10.11759260749779,10117.59260749779,63.86636240516949
42,buy,2023-01-08 14:15:00,16940.37,0.5960535419164636,10.107475014890293,10097.367539875402,
43,sell,2023-01-09 13:45:00,17226.9,0.5960535419164636,10.268154761240728,10268.154761240728,160.51906660408505
44,buy,2023-01-09 14:45:00,17264.25,0.5935750883978747,10.257886606479488,10247.628719873008,
45,sell,2023-01-09 18:00:00,17385.21,0.5935750883978747,10.319427562565615,10319.427562565614,61.479415130040785
46,buy,2023-01-10 14:30:00,17260.18,0.5966797001461193,10.309108135003047,10298.799026868044,
47,sell,2023-01-10 15:30:00,17275.74,0.5966797001461193,10.30808336300232,10308.083363002319,-1.0237472287279221
48,buy,2023-01-13 14:30:00,18936.4,0.5432646915126252,10.297775279639316,10287.477504359678,
49,sell,2023-01-13 15:15:00,19281.98,0.5432646915126252,10.47521891645261,10475.21891645261,177.2661931764794
50,buy,2023-01-14 04:30:00,20901.57,0.5001671622676489,10.464743697536159,10454.278953838622,
51,sell,2023-01-14 09:00:00,20837.86,0.5001671622676489,10.42241330393055,10422.41330393055,-42.28806321200203
52,buy,2023-01-15 13:15:00,20731.0,0.5017403357163666,10.41199089062662,10401.578899735996,
53,sell,2023-01-15 15:30:00,20901.36,0.5017403357163666,10.487055383328636,10487.055383328636,74.98942820931187
54,buy,2023-01-15 20:45:00,20905.69,0.500633643740884,10.476568327945309,10466.091759617362,
55,sell,2023-01-15 22:00:00,20821.83,0.500633643740884,10.424108622253252,10424.108622253252,-52.407245986362256
56,buy,2023-01-17 00:00:00,21270.78,0.48908741612283935,10.413684513630999,10403.270829117368,
57,sell,2023-01-17 00:45:00,21109.52,0.48908741612283935,10.3244005923934,10324.4005923934,-89.19463731636169
58,buy,2023-01-17 08:00:00,21166.58,0.48679390414555423,10.314076191801007,10303.762115609206,
59,sell,2023-01-17 10:15:00,21122.71,0.48679390414555423,10.28240646703434,10282.40646703434,-31.638055041901076
60,buy,2023-01-19 23:45:00,21071.59,0.4869994118387239,10.272124060567306,10261.851936506737,
61,sell,2023-01-20 04:30:00,21037.37,0.4869994118387239,10.245186816633616,10245.186816633615,-26.910306689755316
62,buy,2023-01-21 13:30:00,22918.23,0.44613858435783066,10.234941629816982,10224.706688187165,
63,sell,2023-01-21 15:45:00,22998.9,0.44613858435783066,10.260696687787313,10260.696687787313,25.72930291235973
64,buy,2023-01-23 04:45:00,22758.32,0.4499534919584761,10.250435991099527,10240.185555108426,
65,sell,2023-01-23 07:15:00,22680.35,0.4499534919584761,10.205102681340422,10205.102681340422,-45.287976449343326
66,buy,2023-01-24 00:15:00,22977.46,0.44324754263876087,10.194897578659083,10184.702681080422,
67,sell,2023-01-24 07:30:00,23059.15,0.44324754263876087,10.220911572838585,10220.911572838584,25.987980185322822
68,buy,2023-01-28 00:45:00,23151.84,0.44059046583789796,10.210690661265746,10200.47997060448,
