,type,date,price,amount,commission,value,profit
0,buy,2022-01-01 12:30:00,47008.32,0.21251557171156085,10.0,9990.0,
1,sell,2022-01-01 14:00:00,46969.74,0.21251557171156085,9.981801149243367,9981.801149243367,-18.180651905875756
2,buy,2022-01-01 14:15:00,47024.1,0.21184557553990466,9.971819348094124,9961.84752874603,
3,sell,2022-01-01 14:30:00,46904.67,0.21184557553990466,9.9365468116593,9936.5468116593,-35.237263898390175
4,buy,2022-01-01 23:30:00,47498.17,0.20878033100186374,9.92661026484764,9916.683654582794,
5,sell,2022-01-02 02:15:00,47326.09,0.20878033100186374,9.880756735223994,9880.756735223993,-45.80767609402507
