,type,date,price,amount,commission,value,profit
0,buy,2023-07-01 14:15:00,30567.13,0.3268216545027289,10.0,9990.0,
1,sell,2023-07-01 22:30:00,30569.56,0.3268216545027289,9.99079417662044,9990.79417662044,-9.196617556178714
2,buy,2023-07-01 22:45:00,30577.64,0.32608214954003567,9.98080338244382,9970.822579061376,
3,sell,2023-07-01 23:00:00,30570.09,0.32608214954003567,9.96836065883235,9968.36065883235,-12.430280887859382
4,buy,2023-07-02 00:15:00,30649.98,0.3245820684344768,9.958392298173518,9948.433905875345,
5,sell,2023-07-02 10:30:00,30521.59,0.3245820684344768,9.906760814109042,9906.760814109042,-51.57985258041133
6,buy,2023-07-02 11:45:00,30544.74,0.32368771838429916,9.896854053294934,9886.957199241639,
