,type,date,price,amount,commission,value,profit
0,buy,2024-10-01 13:30:00,62790.01,0.15910174245871278,10.0,9990.0,
1,sell,2024-10-01 23:15:00,60680.0,0.15910174245871278,9.654293732394692,9654.293732394692,-345.3605613377036
2,buy,2024-10-02 00:30:00,61133.04,0.1576069961386451,9.644639438662297,9634.994799223636,
3,sell,2024-10-02 09:15:00,61524.36,0.1576069961386451,9.696669568952611,9696.669568952611,51.97810016002194
4,buy,2024-10-02 13:45:00,61350.0,0.1577389719068341,9.686972899383658,9677.285926484274,
