,type,date,price,amount,commission,value,profit
0,buy,2022-01-01 21:00:00,47509.55,0.21027351343045766,10.0,9990.0,
1,sell,2022-01-02 01:00:00,47442.34,0.21027351343045766,9.975867517162339,9975.867517162338,-24.108350354824744
2,buy,2022-01-02 12:45:00,47292.95,0.2105160654599794,9.965891649645176,9955.925757995532,
3,sell,2022-01-02 14:15:00,47056.24,0.2105160654599794,9.9060945001405,9906.0945001405,-59.737352355172035
4,buy,2022-01-06 17:30:00,43150.17,0.22911363309193727,9.896188405640359,9886.292217234719,
5,sell,2022-01-09 13:15:00,41578.03,0.22911363309193727,9.52609351010556,9526.09351010556,-369.7248006392637
6,buy,2022-01-09 16:15:00,41736.01,0.22779012294608086,9.516567416595455,9507.05084917886,
7,sell,2022-01-12 21:30:00,43808.88,0.22779012294608086,9.979230161330102,9979.230161330102,462.20008198991144
8,buy,2022-01-13 13:30:00,43810.78,0.22732491136285646,9.969250931168771,9959.281680237604,
9,sell,2022-01-13 15:00:00,43779.9,0.22732491136285646,9.952261886974721,9952.26188697472,-16.972055149859134
10,buy,2022-01-14 04:00:00,42753.69,0.2323160250135756,9.942309625087747,9932.367315462658,
11,sell,2022-01-15 03:30:00,43050.0,0.2323160250135756,10.001204876834429,10001.204876834428,58.83635649493761
12,buy,2022-01-15 06:45:00,43068.4,0.23175257191550266,9.991203671957594,9981.212468285636,
13,sell,2022-01-16 04:00:00,43026.69,0.23175257191550266,9.971546068511039,9971.54606851104,-19.63794584310645
14,buy,2022-01-16 06:45:00,43200.0,0.23036141083148348,9.961574522442529,9951.612947920086,
15,sell,2022-01-17 00:30:00,43029.65,0.23036141083148348,9.912370881584945,9912.370881584944,-49.154437216727814
16,buy,2022-01-17 05:00:00,42401.27,0.23330801299566398,9.90245851070336,9892.556052192656,
17,sell,2022-01-17 15:30:00,42631.78,0.23330801299566398,9.946335882268288,9946.335882268288,43.83349419336269
18,buy,2022-01-17 18:00:00,42006.23,0.23630907026980597,9.93638954638602,9926.453156839632,
19,sell,2022-01-18 07:45:00,42061.94,0.23630907026980597,9.939617935144362,9939.617935144362,3.2251603695863214
20,buy,2022-01-18 09:30:00,41899.99,0.23674823404234727,9.929678317209218,9919.74863889201,
21,sell,2022-01-18 12:15:00,41749.34,0.23674823404234727,9.88408251743353,9884.08251743353,-45.55020397591349
22,buy,2022-01-18 15:15:00,41793.51,0.2360252641254869,9.874198434916096,9864.32423648118,
23,sell,2022-01-20 00:00:00,41751.51,0.2360252641254869,9.854411175387908,9854.411175387908,-19.76747226865836
24,buy,2022-01-20 02:00:00,41920.01,0.2346066283726628,9.844556764212522,9834.712207448309,
25,sell,2022-01-20 05:15:00,41797.39,0.2346066283726628,9.805944742677253,9805.944742677253,-38.57340951373378
26,buy,2022-01-20 06:15:00,42041.57,0.23277776398780164,9.796138797934576,9786.342659136642,
27,sell,2022-01-20 09:15:00,41905.07,0.23277776398780164,9.754568494352307,9754.568494352307,-41.528733278687234
28,buy,2022-01-20 10:00:00,42080.01,0.23134664445022934,9.744813925857954,9735.069111932096,
29,sell,2022-01-21 07:00:00,38816.68,0.23134664445022934,8.980108666698328,8980.108666698328,-763.9405539004657
30,buy,2022-01-21 13:00:00,38404.4,0.2333627769076876,8.971128558031632,8962.157429473598,
31,sell,2022-01-21 18:30:00,38394.21,0.2333627769076876,8.95977946277691,8959.779462776909,-11.33774615946679
32,buy,2022-01-21 20:30:00,38210.55,0.23401570675195246,8.950819683314132,8941.868863630818,
33,sell,2022-01-22 15:00:00,35122.66,0.23401570675195246,8.21925410290853,8219.254102908531,-730.8340148251949
34,buy,2022-01-22 16:00:00,35349.2,0.23205118684317658,8.211034848805623,8202.823813956817,
35,sell,2022-01-24 08:15:00,35136.46,0.23205118684317658,8.1534572444678,8153.4572444678,-57.52002673348471
36,buy,2022-01-24 10:00:00,33856.85,0.2403400931698049,8.145303787223332,8137.158483436108,
37,sell,2022-01-26 00:45:00,36638.5,0.2403400931698049,8.805700503601896,8805.700503601896,659.7363196621862
38,buy,2022-01-26 02:00:00,37012.71,0.23743459769077152,8.796894803098294,8788.097908295196,
39,sell,2022-01-26 18:45:00,37961.15,0.23743459769077152,9.013290378129032,9013.290378129032,216.17917945570687
40,buy,2022-01-26 20:00:00,37086.86,0.2425460880393528,9.004277087750904,8995.272810663151,
41,sell,2022-01-30 02:45:00,37951.8,0.2425460880393528,9.20506062405191,9205.06062405191,200.58275276470647
42,buy,2022-01-30 04:45:00,38099.34,0.24112385432042735,9.195855563427859,9186.65970786443,
43,sell,2022-01-30 12:45:00,37938.47,0.24112385432042735,9.147870113419904,9147.870113419904,-47.93746455794593
44,buy,2022-01-30 16:00:00,38005.99,0.24021433255818828,9.138722243306484,9129.583521063178,
45,sell,2022-02-02 21:00:00,37360.97,0.24021433255818828,8.974640472276496,8974.640472276496,-163.91768925895832
46,buy,2022-02-02 21:30:00,36710.15,0.243984297693483,8.96566583180422,8956.700165972416,
47,sell,2022-02-03 14:45:00,36505.71,0.243984297693483,8.90682001615196,8906.82001615196,-58.78696983660819
